"GEOID" "total" "p0_17" "p30_99" "p0_1" "p0_99" "p8_12" "p0_17.1" "p65_99" "p6_18" "p6_14" "p18_64" "p5_17"
"80138" 30693 8396 19120 377 30693 2633.2 8396 2846 6468.6 4691.6 19451 6511
"80202" 11474 310 6677 32.4 11474 30.8 310 809 271.5 56 10355 148
"80203" 20214 680 11486 49.6 20214 191.8 680 1349 405.3 355.8 18185 432
"80204" 31133 7269 16142 521.4 31133 1905.8 7269 2846 4771.7 3470.2 21018 4662
"80205" 30956 6078 17858 364.8 30956 1663.6 6078 2390 4088.6 3017.6 22488 4254
"80206" 21295 2400 14370 185.6 21295 591.2 2400 2764 1380.3 1082.8 16131 1472
"80207" 23296 5766 13981 445 23296 1387.2 5766 3006 3405 2532 14524 3541
"80209" 23413 2809 16185 238 23413 679.8 2809 3144 1519.2 1262.2 17460 1619
"80210" 35974 5683 20330 401.6 35974 1456.4 5683 3528 4363.2 2669.2 26763 3675
"80211" 32797 5699 20805 424.8 32797 1307.6 5699 3333 3518.9 2388.4 23765 3575
"80212" 18570 2998 12378 234 18570 664.8 2998 2458 1842.1 1185.6 13114 1828
"80214" 25598 5232 14627 405.4 25598 1243.2 5232 3192 3175.7 2273.2 17174 3205
"80215" 18231 3522 11826 185.2 18231 979 3522 3284 2508.9 1767.4 11425 2596
"80216" 11232 3400 5138 218.4 11232 909 3400 628 2306.3 1647.8 7204 2308
"80218" 18462 1648 11654 156 18462 323.2 1648 2026 875.4 586.4 14788 868
"80219" 65449 21108 32648 1134.2 65449 6112.6 21108 5921 14955.2 11060.2 38420 15437
"80220" 36162 7598 22144 535 36162 1860.2 7598 3661 4991.6 3338.6 24903 4923
"80221" 40341 9847 22418 688.4 40341 2478 9847 4051 6483 4490 26443 6405
"80222" 20673 3764 13269 310.2 20673 892.2 3764 3039 2263 1603 13870 2213
"80223" 17912 4472 10263 310.6 17912 1097 4472 1605 2841.5 2015 11835 2919
"80224" 17454 3144 11631 247.2 17454 790.4 3144 3578 1847.9 1432.4 10732 1908
"80226" 31616 6920 18273 401.8 31616 1793.4 6920 4634 4993.2 3270.2 20062 4911
"80227" 34139 6952 20865 454.4 34139 1798.4 6952 5083 4711.5 3262 22104 4680
"80228" 31455 6242 19792 371.4 31455 1585 6242 4133 4397.1 2864.6 21080 4385
"80229" 51224 15334 25701 875.6 51224 4378.6 15334 3961 10788.4 7851.4 31929 10956
"80230" 8393 2118 5228 104 8393 668.6 2118 799 1510.9 1223.4 5476 1598
"80231" 34516 6496 20506 471.8 34516 1661.8 6496 3903 3963.5 3067 24117 4137
"80232" 21642 4243 14078 282.4 21642 1083.2 4243 3604 2811.6 1947.6 13795 2831
"80233" 46886 11471 26598 628.8 46886 3215.2 11471 4592 8232.1 5849.6 30823 8327
"80234" 26289 6171 15220 308.8 26289 1820 6171 2864 4580.3 3254.8 17254 4627
"80235" 7888 1629 5000 95 7888 392.2 1629 1116 1163.1 696.6 5143 1154
"80236" 16914 4178 9852 269.6 16914 1083.2 4178 2529 2842.5 1940 10207 2830
"80237" 18445 2498 12385 152.6 18445 653.2 2498 3082 1716.5 1196 12865 1735
"80238" 11965 4198 7230 374.6 11965 989.6 4198 443 2030.7 1849.2 7324 2325
"80239" 43211 14201 20671 769.4 43211 4287 14201 2538 10237.3 7711.8 26472 10354
"80241" 33242 8979 19027 463.4 33242 2631.8 8979 2713 6525.3 4743.8 21550 6662
"80246" 12719 1516 6750 145 12719 294.2 1516 1120 812.6 536.6 10083 791
"80247" 25588 4441 15814 336.8 25588 1023.2 4441 4359 2744.6 1867.6 16788 2757
"80249" 27505 9236 14722 490.4 27505 2768 9236 1367 6517.7 4969.2 16902 6784
"80260" 33835 9976 17828 585.2 33835 2799.6 9976 3277 6801.1 5075.6 20582 7050
"80264" 0 0 0 0 0 0 0 0 0 0 0 0
"80290" 0 0 0 0 0 0 0 0 0 0 0 0
"80293" 0 0 0 0 0 0 0 0 0 0 0 0
"80294" 0 0 0 0 0 0 0 0 0 0 0 0
"80301" 23980 4239 15060 232.4 23980 1214.6 4239 2750 3055.4 2179.4 16991 3077
"80302" 28003 2358 11805 129 28003 729.4 2358 2387 2791.2 1312.2 23258 1713
"80303" 23505 3209 11992 154.8 23505 894.6 3209 3413 2648.1 1600.6 16883 2435
"80304" 26471 5591 16270 300 26471 1664.6 5591 3070 3909.1 2982.6 17810 4091
"80305" 17401 3086 9829 176.4 17401 818.2 3086 2032 2287.9 1485.4 12283 2204
"80310" 6630 90 29 0 6630 0 90 0 2849.5 0 6540 90
"80401" 39336 7169 23961 365.8 39336 2015 7169 5626 5729.3 3633.8 26541 5340
"80403" 18345 3815 12727 167.8 18345 1190.4 3815 2401 2913.4 2132.4 12129 2976
"80419" 382 0 153 0 382 0 0 0 32.5 0 382 0
"80420" 955 232 624 10 955 70.8 232 28 170.9 128.4 695 182
"80421" 8189 1805 5715 70.4 8189 548.4 1805 988 1442.7 991.2 5396 1453
"80422" 4424 1000 3088 43.4 4424 298.2 1000 423 742.1 534.6 3001 783
"80423" 132 0 124 0 132 0 0 25 4 0 107 0
"80424" 9546 1574 5709 95.6 9546 465.6 1574 1230 1066.2 835.2 6742 1096
"80425" 244 25 184 2 244 9 25 81 15 15 138 15
"80426" 217 0 156 0 217 0 0 20 0 0 197 0
"80427" 759 137 539 8 759 41.4 137 57 88 75 565 97
"80428" 613 264 324 8.6 613 95 264 33 211 165 316 221
"80432" 104 0 104 0 104 0 0 11 0 0 93 0
"80433" 8348 1709 5966 69 8348 469.4 1709 1124 1379.7 846.2 5515 1364
"80434" 47 15 32 0 47 8 15 8 14 14 24 15
"80435" 7928 1388 4609 69.8 7928 429.2 1388 422 1046.1 769.6 6118 1039
"80436" 469 47 406 0 469 18.8 47 95 45.6 37.6 327 47
"80438" 350 58 263 5.8 350 7 58 33 29.1 12.6 259 29
"80439" 23746 4955 17292 134.2 23746 1624.8 4955 4051 4179.3 2912.8 14740 4284
"80440" 2353 410 1526 28.2 2353 96.4 410 96 273.1 163.6 1847 269
