"GEOID" "total" "p0_17" "p30_99" "p0_1" "p0_99" "p8_12" "p0_17.1" "p65_99" "p6_18" "p6_14" "p18_64" "p5_17"
"81020" 955 130 686 6.8 955 23.2 130 275 108.8 40.8 550 96
"81021" 7 0 2 0 7 0 0 2 0 0 5 0
"81022" 1418 280 932 24.2 1418 56.2 280 370 171.2 102.2 768 159
"81023" 1245 317 840 10.4 1245 105.6 317 189 258.8 182.8 739 265
"81024" 97 15 63 0 97 9 15 6 15 15 76 15
"81025" 896 173 604 5.6 896 46.4 173 222 144.9 84.4 501 145
"81027" 120 24 87 1.8 120 6.8 24 33 12.8 12.8 63 15
"81029" 255 36 183 3.2 255 6.8 36 95 22.1 11.6 124 20
"81030" 142 38 83 1 142 12.4 38 10 29.2 23.2 94 33
"81033" 288 38 219 3.2 288 1.6 38 49 35.2 3.2 201 22
"81036" 984 253 601 8.6 984 57.6 253 193 209.7 103.2 538 210
"81038" 407 0 307 0 407 0 0 26 0 0 381 0
"81039" 1747 435 1128 20 1747 138.6 435 420 319.3 243.8 892 335
"81040" 354 21 320 2 354 0 21 128 17.5 0 205 11
"81041" 777 265 405 14.8 777 74.4 265 68 201.5 128 444 191
"81043" 46 9 37 0.8 46 2.6 9 3 4.6 4.6 34 5
"81044" 306 90 197 6.6 306 23.6 90 65 53.4 42.4 151 57
"81045" 78 10 57 0.2 78 4 10 13 10.6 7.6 55 9
"81047" 1637 438 1004 32.4 1637 100 438 303 272.3 180.8 896 276
"81049" 308 51 231 0 308 14.2 51 119 56.8 25.8 138 51
"81050" 9645 2286 5987 123.6 9645 599.2 2286 1616 1702.4 1084.4 5743 1668
"81052" 9239 2433 5323 125 9239 710.4 2433 1428 1841.4 1266.4 5378 1808
"81054" 4666 701 3312 38.2 4666 195.2 701 760 478.1 349.6 3205 510
"81055" 1429 189 1105 11.6 1429 46 189 444 136.6 83.6 796 131
"81057" 442 169 244 3.4 442 58.2 169 31 144.5 103 242 152
"81058" 934 151 658 1.8 934 44.2 151 192 154.5 79 591 142
"81059" 347 19 236 1 347 5 19 48 12.4 9.4 280 14
"81062" 1940 283 1218 12 1940 98.8 283 114 258.8 178.8 1543 223
"81063" 2478 432 1613 20.8 2478 148.8 432 334 341.2 263.2 1712 328
"81064" 267 38 206 3 267 6.4 38 68 21.6 11.6 161 23
"81067" 6144 1490 3741 86.4 6144 428 1490 1219 1089.2 771.2 3435 1058
"81069" 1554 268 1220 8.2 1554 83.8 268 425 242.3 143.8 861 227
"81071" 338 141 182 8.2 338 43.4 141 45 93.9 77.4 152 100
"81073" 1856 407 1316 18.8 1856 105 407 484 306.4 187.4 965 313
"81076" 664 96 359 10.6 664 14.2 96 92 94.7 24.2 476 43
"81077" 522 135 257 7.4 522 38.2 135 91 92.5 69 296 98
"81081" 36 0 36 0 36 0 0 21 0 0 15 0
"81082" 12046 2516 7704 131.6 12046 771.6 2516 2285 1948.5 1362 7245 1858
"81084" 121 23 89 0 121 11.2 23 26 20.4 20.4 72 23
"81087" 235 113 104 5.4 235 44.4 113 29 78.8 78.8 93 86
"81089" 4399 808 3015 20.8 4399 304.6 808 1094 684.5 547 2497 704
"81090" 1075 215 687 19.8 1075 41.6 215 237 127.4 76.4 623 116
"81091" 844 179 599 7.8 844 49.2 179 156 137.4 84.4 509 140
"81092" 816 195 501 9.8 816 58 195 95 147.3 106.8 526 146
"81101" 15330 3762 7828 224.6 15330 1035.8 3762 1798 2925.4 1861.4 9770 2639
"81120" 2052 494 1295 27.4 2052 143.8 494 384 334.2 260.2 1174 357
"81121" 262 29 192 4.8 262 2.4 29 53 4.4 4.4 180 5
"81122" 7909 1650 5444 87.4 7909 469.4 1650 1071 1217.3 837.8 5188 1213
"81123" 1112 300 657 16.4 1112 66.6 300 164 219.1 122.6 648 218
"81124" 106 20 49 0 106 5.6 20 13 17.2 11.2 73 20
"81125" 3251 900 1865 63.6 3251 211.6 900 370 585.6 375.6 1981 582
"81126" 215 27 188 0 215 4.8 27 74 24.6 9.6 114 27
"81128" 117 37 62 7.4 117 0 37 6 0 0 74 0
"81129" 187 30 157 3.4 187 5.2 30 36 10.4 10.4 121 13
"81130" 726 41 655 1.8 726 14.8 41 298 31.2 25.2 387 32
"81131" 1173 268 868 11.2 1173 88.2 268 213 190.7 162.2 692 212
"81132" 3249 784 1922 41.6 3249 228.8 784 534 578.4 408.4 1931 576
"81133" 876 154 645 7.4 876 35.6 154 211 128.6 67.6 511 117
"81136" 171 39 108 2.8 171 8 39 36 26 16 96 25
"81137" 5704 1378 3501 95.4 5704 322 1378 719 912.3 578.8 3607 901
"81138" 42 0 42 0 42 0 0 0 0 0 42 0
"81140" 2718 757 1570 34.2 2718 221.4 757 549 571.5 407 1412 586
"81141" 1436 476 739 25.4 1436 130.6 476 197 359.4 233.4 763 349
"81143" 667 79 500 1.4 667 31 79 117 94.8 55.8 471 72
"81144" 7015 1838 4245 93.8 7015 548.2 1838 1084 1333.6 980.6 4093 1369
"81146" 652 154 390 7.4 652 42.8 154 82 122.4 78.4 416 117
"81147" 11593 2143 8146 110.2 11593 580.4 2143 2303 1591.7 1049.2 7147 1592
"81148" 335 101 179 6.2 335 19 101 38 71.4 33.4 196 70
"81149" 951 160 694 13.2 951 40.2 160 210 103.6 68.6 581 94
"81151" 1362 392 825 21 1362 126.8 392 174 274 226 796 287
"81152" 1274 227 947 8.6 1274 86 227 386 182.5 154 661 184
"81154" 1397 209 1016 8.4 1397 60.8 209 393 183.1 111.6 795 167
"81155" 362 0 310 0 362 0 0 128 0 0 234 0
"81201" 8888 1503 6377 71.8 8888 419.4 1503 1932 1109.1 756.6 5453 1144
"81210" 223 101 122 0 223 53.6 101 0 94 94 122 101
"81211" 7364 1069 5364 64.8 7364 307.2 1069 1635 720.8 554.8 4660 745
"81212" 30211 5038 20347 275.2 30211 1443.8 5038 5828 3666.9 2555.4 19345 3662
"81220" 117 4 113 0 117 2.4 4 65 4 4 48 4
"81221" 274 69 174 5 274 13.2 69 76 39.8 24.8 129 44
"81222" 378 141 237 0 378 64.8 141 30 133.2 113.2 207 141
"81223" 1480 179 1295 1.4 1480 55.8 179 412 164.2 98.2 889 172
"81224" 3677 912 2297 61.4 3677 201.8 912 269 556 385 2496 605
"81225" 857 100 606 3.2 857 39.6 100 83 84.3 70.8 674 84
"81226" 9090 1417 6538 62 9090 432.8 1417 1321 1129.9 760.4 6352 1107
"81227" 12 0 12 0 12 0 0 0 0 0 12 0
"81230" 9235 1634 4893 83 9235 446.6 1634 934 1285 825 6667 1219
"81231" 567 0 0 0 567 0 0 0 248 0 567 0
"81232" 5 0 5 0 5 0 0 0 0 0 5 0
"81233" 1176 131 812 12.4 1176 31 131 344 58.6 58.6 701 69
"81235" 737 105 590 13 737 9.8 105 197 40.3 17.8 435 40
"81236" 889 114 752 0 889 47.8 114 352 105.4 85.4 423 114
"81237" 152 49 103 0 152 29.4 49 36 49 49 67 49
"81239" 0 0 0 0 0 0 0 0 0 0 0 0
"81240" 3698 838 2481 33.6 3698 238.2 838 694 670.2 420.2 2166 670
"81241" 65 4 61 0 65 0 4 22 4 0 39 4
"81242" 985 197 563 12.8 985 54.4 197 176 152.9 96.4 612 133
"81243" 142 28 104 0 142 12.6 28 33 30.5 21 81 28
"81244" 338 80 210 6.4 338 24.6 80 65 56.8 43.8 193 48
"81248" 136 57 79 0 136 30.4 57 9 53.2 53.2 70 57
"81251" 141 16 125 0 141 0 16 19 16 0 106 16
"81252" 3756 593 2870 26.2 3756 151 593 990 463.6 276.6 2173 462
"81253" 571 79 485 0 571 36.4 79 222 75.1 65.6 270 79
"81301" 29280 5316 17246 300.6 29280 1464 5316 3716 4252.6 2633.6 20248 3813
"81303" 7799 1670 5116 81 7799 502 1670 1031 1229.5 906 5098 1265
"81320" 190 21 169 0 190 8.6 21 81 20 15 88 21
"81321" 14284 3424 8785 175.4 14284 955 3424 2549 2605.9 1715.4 8311 2547
"81323" 4959 1108 3235 67.6 4959 317.8 1108 824 747.8 565.8 3027 770
"81324" 1181 259 830 11.4 1181 91.8 259 282 187.6 162.6 640 202
"81325" 177 33 131 0 177 15.2 33 5 31.9 28.4 139 33
"81326" 2063 476 1415 8.4 2063 165.2 476 280 430.3 294.8 1307 434
"81327" 806 205 556 11.8 806 79.4 205 144 160.3 137.8 457 146
"81328" 4092 701 3099 35.2 4092 220.8 701 909 489.3 396.8 2482 525
"81330" 50 0 50 0 50 0 0 0 0 0 50 0
"81331" 324 25 284 2.8 324 4.4 25 80 8.8 8.8 219 11
"81332" 189 35 131 1.6 189 13.2 35 37 30 24 117 27
"81334" 1242 401 630 21.6 1242 95.6 401 85 293.6 173.6 756 293
"81335" 94 0 94 0 94 0 0 0 0 0 94 0
"81401" 22235 4728 14662 250.8 22235 1347.6 4728 4676 3395.6 2441.6 12831 3474
"81403" 11103 2636 7373 115.8 11103 753.4 2636 2245 2040.7 1350.2 6222 2057
"81410" 1577 284 1165 12.8 1577 114.2 284 499 227.5 195 794 220
"81411" 14 0 14 0 14 0 0 14 0 0 0 0
"81413" 5016 985 3563 43.4 5016 289.6 985 1454 742 520 2577 768
"81415" 1438 309 1019 12.8 1438 81.6 309 293 240.8 144.8 836 245
"81416" 13787 3124 8761 203.4 13787 819.2 3124 2579 2167.8 1484.8 8084 2107
"81418" 1786 397 1261 17.8 1786 113.2 397 526 307.8 200.8 863 308
"81419" 3789 694 2628 18.6 3789 221.6 694 876 603.8 398.8 2219 601
"81422" 588 102 420 7.2 588 21 102 136 78.9 37.4 350 66
"81423" 1527 308 1126 24.2 1527 84.4 308 238 173.3 150.8 981 187
"81424" 1143 224 819 11.8 1143 63 224 187 170.3 111.8 732 165
"81425" 5119 1497 3030 66 5119 431.4 1497 775 1144.8 779.8 2847 1167
"81426" 132 54 75 5.2 132 11.8 54 5 23 23 73 28
"81427" 902 121 678 7.8 902 28.2 121 235 87.5 51 546 82
"81428" 3883 926 2572 22.8 3883 290 926 714 807.7 509.2 2243 812
"81429" 88 6 82 0 88 3 6 33 5.4 5.4 49 6
"81430" 572 65 469 0 572 25.2 65 68 69 44 439 65
"81431" 437 79 301 2.8 437 19.4 79 49 64.7 34.2 309 65
"81432" 2825 475 2092 12.2 2825 153.2 475 594 436.3 274.8 1756 414
"81433" 616 60 401 5.6 616 13.4 60 89 31.8 23.8 467 32
"81434" 143 18 89 0 143 0 18 5 36 0 120 18
"81435" 5260 992 3289 51.2 5260 272.8 992 356 703 498 3912 736
"81501" 24610 5147 12302 314.2 24610 1413.4 5147 2868 4253.5 2559 16595 3576
"81503" 14656 3347 8863 272.6 14656 715.8 3347 2211 1960.7 1320.2 9098 1984
"81504" 29628 7287 16999 446 29628 2032.8 7287 4018 4916.5 3684 18323 5057
"81505" 8919 1784 5708 69.4 8919 539.6 1784 1713 1423.8 972.8 5422 1437
"81506" 10907 1989 7713 108.4 10907 551.2 1989 3167 1350.6 1009.6 5751 1447
"81507" 15849 3799 10644 183.8 15849 1149.2 3799 3339 2828.7 2039.2 8711 2880
"81520" 13392 3523 7294 220 13392 941.8 3523 1590 2376.6 1706.6 8279 2423
"81521" 14830 3893 9394 161 14830 1070.8 3893 2001 3086.7 1901.2 8936 3088
"81522" 25 0 25 0 25 0 0 12 0 0 13 0
"81523" 1117 132 955 3 1117 54 132 235 108 96 750 117
"81524" 2066 463 1285 22 2066 104.8 463 209 418.6 189.6 1394 353
"81525" 1020 328 464 22.8 1020 78.6 328 92 197.7 148.2 600 214
"81526" 5445 1118 3740 35.6 5445 337.8 1118 926 921.9 605.4 3401 940
"81527" 1902 381 1351 19.6 1902 99.6 381 444 273.6 175.6 1077 283
"81601" 16368 3616 9510 246.2 16368 970.8 3616 1478 2425.6 1755.6 11274 2385
"81610" 444 131 238 14 444 26.6 131 73 54.1 50.6 240 61
"81611" 9821 1606 6821 94.6 9821 457.6 1606 1560 1136.6 801.6 6655 1133
"81612" 0 0 0 0 0 0 0 0 0 0 0 0
"81615" 2852 493 1846 0 2852 232 493 283 480.2 403.2 2076 493
"81620" 10767 2461 5672 128.6 10767 722.4 2461 461 1754.8 1320.8 7845 1818
"81621" 6564 1188 4071 67.6 6564 275.2 1188 669 882.1 499.6 4707 850
"81623" 14530 3774 8712 212 14530 1153.2 3774 1373 2754.1 2047.6 9383 2714
"81624" 1480 310 838 16.4 1480 81.2 310 249 258.4 148.4 921 228
"81625" 12425 3265 7323 171.6 12425 937.8 3265 1422 2402 1669 7738 2407
"81630" 742 177 484 8.6 742 47 177 118 133.3 85.8 447 134
"81631" 8128 2169 5169 148.2 8128 603.4 2169 621 1327.9 1113.4 5338 1428
"81632" 9493 2430 5448 93 9493 787.6 2430 798 1938.4 1408.4 6265 1965
"81633" 0 0 0 0 0 0 0 0 0 0 0 0
"81635" 6409 1805 3909 101.2 6409 436.8 1805 1038 1292.8 772.8 3566 1299
"81637" 8009 2417 4640 109.2 8009 677.8 2417 348 1780.8 1261.8 5244 1871
"81638" 279 90 186 7.2 279 24.4 90 28 48.4 44.4 161 54
"81639" 2289 552 1455 26.4 2289 151.8 552 226 418.2 268.2 1511 420
"81640" 138 10 93 0 138 3 10 25 9.4 5.4 103 10
"81641" 3603 887 2446 47.4 3603 244.6 887 512 589 451 2204 650
"81642" 121 0 101 0 121 0 0 60 0 0 61 0
"81643" 789 132 572 7.4 789 28.2 132 168 110.9 49.4 489 95
"81645" 1154 162 826 8.4 1154 59.2 162 120 111.4 104.4 872 120
"81646" 209 57 152 3.2 209 16.4 57 59 38.8 28.8 93 41
"81647" 6961 2109 4030 66 6961 661.4 2109 519 1652.5 1205 4333 1779
"81648" 2677 706 1357 43 2677 183 706 277 540.5 339 1694 491
"81649" 268 49 178 3.4 268 11.4 49 20 29 21 199 32
"81650" 13431 3967 7383 215.6 13431 1160.8 3967 1187 2798 2102 8277 2889
"81652" 4377 1135 2691 57.2 4377 295 1135 366 862.1 532.6 2876 849
"81653" 45 14 24 0 45 8.4 14 0 14 14 31 14
"81654" 1101 186 728 14.8 1101 52 186 92 109.4 88.4 823 112
"81655" 94 65 29 3.8 94 24.8 65 0 43.2 43.2 29 46
"81656" 385 82 303 0 385 17.4 82 44 82 29 259 82
"81657" 5737 519 3861 10.8 5737 172.2 519 669 455.7 316.2 4549 465
"82063" 21 0 21 0 21 0 0 12 0 0 9 0
