"GEOID" "mort_ac" "mort_ac_se" "mort_na" "mort_na_se" "hosp_cp" "hosp_cp_se" "hosp_cvd" "hosp_cvd_se" "hosp_res" "hosp_res_se" "ed_ast" "ac_bronchitis" "minor_lrs" "minor_wld" "minor_mrad" "minor_asts" "minor_sld" "minor_astc" "minor_ast" "minor_astw" "hosp_mi" "ed_ast_se" "hosp_mi_se" "minor_astc_se" "minor_asts_se" "minor_astw_se" "minor_ast_se" "minor_mrad_se" "minor_sld_se" "minor_wld_se" "minor_lrs_se" "ac_bronchitis_se"
80019 0.00000895181333113464 0.000682630795920105 0.00000895181333113464 0.000682630795920105 0.000193185809624166 0.0053953860372834 0.000122936424306287 0.00343342747827125 0.0000702493853178785 0.00196195855901214 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80020 0.0000250381476998652 0.00959111404752626 0.0000250381476998652 0.00959111404752626 0.00043676614481409 0.0653691708814567 0.000268468688845401 0.0401807141094364 0.000168297455968689 0.0251884567720203 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80021 0.0000240601781006287 0.00718429021532824 0.0000240601781006287 0.00718429021532824 0.000292214388532747 0.036783048382032 0.000177057712341735 0.0222874802030774 0.000115156676191011 0.0144955681789546 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80022 0.0000281384164195663 0.00967016299630784 0.0000281384164195663 0.00967016299630784 0.000496497153937574 0.0657179207383291 0.000291955964220929 0.0386442072499088 0.000204541189716645 0.0270737134884203 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80023 0.0000138434463308731 0.00327039516916271 0.0000138434463308731 0.00327039516916271 0.000210595008323148 0.0234366793619918 0.000137373424546928 0.0152880019787783 0.0000732215837762207 0.00814867738321355 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80024 0.0000367878406505639 0.00138382928351721 0.0000367878406505639 0.00138382928351721 0 0 0 0 0 0 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80025 0.00000944733112895607 0.000278656234364717 0.00000944733112895607 0.000278656234364717 0 0 0 0 0 0 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80026 0.0000194760531998793 0.00574246400207595 0.0000194760531998793 0.00574246400207595 0.000347741904254804 0.0413652113791628 0.000215305677912774 0.0256114226356509 0.00013243622634203 0.0157537887435119 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80027 0.0000203528851533616 0.00639320375823305 0.0000203528851533616 0.00639320375823305 0.000369290677336015 0.0417886301991724 0.000236850973239263 0.0268018618948342 0.000132439704096752 0.0149867683043382 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80030 0.0000448536691842168 0.00982797014658553 0.0000448536691842168 0.00982797014658553 0.000727521215395862 0.0675459470619536 0.000417633410672854 0.0387747376318947 0.000309887804723008 0.0287712094300589 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
80031 0.0000267491087917119 0.00873021412961832 0.0000267491087917119 0.00873021412961832 0.00034559568863341 0.0507390497638961 0.000205781323978481 0.030212034412559 0.000139814364654929 0.0205270153513372 0.0000263 0.000117808 0.0012 0.0057 0.02137 0.037 0.055 0.067 0.067 0.076 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999 9999
