ZIP,cvd_n,resp_n,total_pop,cardiopulm_n,total_pop5y,cardiopulm_per_100p5y,cvd_per_100p5y,resp_per_100p5y
80612,28,14,428,42,2140,1.9626168224299065,1.3084112149532712,0.6542056074766356
80615,815,514,7694,1329,38470,3.4546399792045746,2.1185339225370416,1.3361060566675331
80620,1899,1512,17633,3411,88165,3.8688822094935635,2.1539159530425906,1.7149662564509727
80621,1148,735,11924,1883,59620,3.1583361288158334,1.9255283461925528,1.2328077826232808
80737,118,85,1568,203,7840,2.5892857142857144,1.5051020408163265,1.0841836734693877
80740,6,2,154,8,770,1.0389610389610389,0.7792207792207793,0.2597402597402597
80741,36,23,774,59,3870,1.524547803617571,0.9302325581395349,0.5943152454780362
80742,10,8,277,18,1385,1.2996389891696751,0.7220216606498195,0.5776173285198556
80743,81,60,976,141,4880,2.889344262295082,1.6598360655737703,1.2295081967213115
80744,16,19,484,35,2420,1.4462809917355373,0.6611570247933884,0.7851239669421488
80745,2,1,178,3,890,0.33707865168539325,0.22471910112359553,0.11235955056179776
80746,0,0,46,0,230,0,0,0
80747,9,5,502,14,2510,0.5577689243027889,0.35856573705179284,0.199203187250996
80749,20,8,305,28,1525,1.8360655737704918,1.3114754098360655,0.5245901639344263
80750,17,10,278,27,1390,1.9424460431654675,1.223021582733813,0.7194244604316548
80622,2,7,238,9,1190,0.7563025210084033,0.16806722689075632,0.5882352941176471
80623,0,0,976,0,4880,0,0,0
80624,31,22,1224,53,6120,0.8660130718954249,0.5065359477124183,0.35947712418300654
80631,6309,4855,50466,11164,252330,4.4243649189553365,2.5002972298180954,1.9240676891372408
80634,7360,4531,55464,11891,277320,4.287826337804702,2.6539737487379202,1.633852589066782
80640,578,527,11692,1105,58460,1.8901813205610674,0.9887102292165584,0.9014710913445091
80642,157,136,5050,293,25250,1.1603960396039603,0.6217821782178218,0.5386138613861385
80643,187,118,3331,305,16655,1.8312818973281297,1.1227859501651156,0.7084959471630141
80644,131,91,3104,222,15520,1.4304123711340206,0.8440721649484536,0.586340206185567
80019,97,79,2349,176,11745,1.4985100042571307,0.8258833546189868,0.6726266496381439
80020,3648,2688,49118,6336,245590,2.579909605439961,1.4854025001017956,1.0945071053381652
80021,1824,1482,30705,3306,153525,2.153395212506106,1.1880801172447486,0.9653150952613581
80022,4005,3689,45663,7694,228315,3.3699056128594265,1.7541554431377702,1.6157501697216563
80023,897,553,17186,1450,85930,1.6874199930175724,1.0438729198184569,0.6435470731991155
80751,2012,1313,18826,3325,94130,3.5323488792096036,2.137469457133751,1.3948794220758525
80754,9,7,193,16,965,1.6580310880829014,0.932642487046632,0.7253886010362695
80755,7,1,142,8,710,1.1267605633802817,0.9859154929577465,0.14084507042253522
80757,8,7,322,15,1610,0.9316770186335404,0.4968944099378882,0.43478260869565216
80759,460,405,4670,865,23350,3.7044967880085657,1.9700214132762313,1.734475374732334
80801,10,5,100,15,500,3,2,1
80802,8,3,299,11,1495,0.7357859531772575,0.5351170568561873,0.2006688963210702
80804,14,13,330,27,1650,1.6363636363636365,0.8484848484848486,0.787878787878788
80805,7,7,553,14,2765,0.5063291139240507,0.25316455696202533,0.25316455696202533
80807,318,237,5313,555,26565,2.0892151326933934,1.1970638057594578,0.8921513269339357
80513,872,557,10660,1429,53300,2.6810506566604126,1.6360225140712947,1.0450281425891181
80514,413,350,4554,763,22770,3.3509003074220467,1.8137900746596398,1.5371102327624067
80515,28,17,1059,45,5295,0.84985835694051,0.5288007554296507,0.32105760151085927
80645,336,262,4567,598,22835,2.6187869498576744,1.471425443398292,1.1473615064593825
80648,41,32,1032,73,5160,1.4147286821705427,0.7945736434108527,0.6201550387596899
80649,20,18,193,38,965,3.9378238341968914,2.072538860103627,1.865284974093264
80650,52,37,1532,89,7660,1.1618798955613578,0.6788511749347258,0.4830287206266318
80651,318,213,4110,531,20550,2.5839416058394162,1.5474452554744527,1.0364963503649636
80652,21,18,237,39,1185,3.2911392405063293,1.7721518987341773,1.5189873417721518
80653,34,22,683,56,3415,1.6398243045387995,0.9956076134699853,0.6442166910688141
80024,0,0,606,0,3030,0,0,0
80025,0,1,251,1,1255,0.0796812749003984,0,0.0796812749003984
80026,1882,1357,27389,3239,136945,2.3651831027054655,1.37427434371463,0.9909087589908357
80027,1782,1161,31946,2943,159730,1.842484192074125,1.1156326300632318,0.7268515620108934
80030,2097,1777,16045,3874,80225,4.828918666251169,2.6138984107198504,2.2150202555313183
80031,2707,2249,35081,4956,175405,2.825461075796015,1.5432855391807532,1.2821755366152618
80033,3502,2629,24838,6131,124190,4.936790401803688,2.8198727755857957,2.1169176262178917
80045,77,56,612,133,3060,4.34640522875817,2.5163398692810457,1.8300653594771243
80101,41,18,332,59,1660,3.5542168674698797,2.4698795180722892,1.0843373493975903
80102,472,321,5136,793,25680,3.088006230529595,1.838006230529595,1.25
80103,191,134,2682,325,13410,2.423564504101417,1.424310216256525,0.9992542878448918
80104,2099,1755,28558,3854,142790,2.6990685622242454,1.4699908957209888,1.2290776665032566
80105,115,64,1165,179,5825,3.072961373390558,1.9742489270386268,1.0987124463519313
80106,263,159,4457,422,22285,1.8936504375140228,1.1801660309625308,0.713484406551492
80107,744,539,12575,1283,62875,2.0405566600397615,1.183300198807157,0.8572564612326043
80108,1241,904,23949,2145,119745,1.7913065263685333,1.0363689506868763,0.7549375756816569
80109,931,842,18986,1773,94930,1.8676919835668389,0.9807226377330666,0.8869693458337723
80110,3144,2591,21457,5735,107285,5.345574870671576,2.9305121871650277,2.415062683506548
80111,1964,1387,30537,3351,152685,2.194714608507712,1.2863084127451943,0.9084061957625176
80112,1715,1300,30342,3015,151710,1.9873442752620132,1.13044624612748,0.8568980291345331
80113,2568,1880,21165,4448,105825,4.203165603590834,2.4266477675407514,1.7765178360500826
80116,285,220,3800,505,19e3,2.6578947368421053,1.5,1.1578947368421053
80117,139,110,2699,249,13495,1.8451278251204148,1.0300111152278622,0.8151167098925528
80118,381,250,5379,631,26895,2.346160996467745,1.4166201896263246,0.9295408068414203
80120,4107,2831,29957,6938,149785,4.631972493907935,2.741930099809727,1.8900423940982074
80121,2201,1565,18616,3766,93080,4.045981951009884,2.364632574129781,1.681349376880103
80122,3026,1953,31230,4979,156150,3.188600704450849,1.9378802433557476,1.250720461095101
80123,4774,3124,44795,7898,223975,3.5262864158946314,2.131487889273356,1.3947985266212748
80124,1061,798,19276,1859,96380,1.9288234073459223,1.100850798920938,0.8279726084249844
80125,526,428,10540,954,52700,1.8102466793168879,0.9981024667931689,0.8121442125237192
80126,2204,1636,41667,3840,208335,1.8431852545179639,1.0579115367077063,0.7852737178102575
80127,2742,1888,44570,4630,222850,2.077630693291452,1.2304240520529504,0.8472066412385012
80808,608,442,6053,1050,30265,3.469354039319346,2.008921196101107,1.460432843218239
80809,81,75,1651,156,8255,1.889763779527559,0.9812235009085404,0.9085402786190186
80810,20,13,1293,33,6465,0.5104408352668214,0.30935808197989173,0.20108275328692962
80812,16,11,169,27,845,3.195266272189349,1.8934911242603552,1.301775147928994
80813,50,33,2087,83,10435,0.7954000958313369,0.4791566842357451,0.3162434115955918
80814,225,148,4043,373,20215,1.8451644818204302,1.1130348750927528,0.7321296067276775
80815,45,24,850,69,4250,1.6235294117647059,1.0588235294117647,0.5647058823529412
80816,299,204,5190,503,25950,1.9383429672447012,1.1522157996146436,0.7861271676300577
80817,1549,1286,28157,2835,140785,2.01370884682317,1.100259260574635,0.913449586248535
80818,21,17,289,38,1445,2.629757785467128,1.453287197231834,1.1764705882352942
80819,2,3,744,5,3720,0.13440860215053765,0.053763440860215055,0.08064516129032258
80516,1040,744,21987,1784,109935,1.622777095556465,0.9460135534634102,0.676763542093055
80517,1023,523,9133,1546,45665,3.385525019161283,2.2402277455381583,1.145297273623125
80520,83,67,1475,150,7375,2.0338983050847457,1.1254237288135593,0.9084745762711864
80128,3010,2175,35691,5185,178455,2.9054943823372836,1.6866997282228013,1.2187946541144827
80129,1691,1183,28112,2874,140560,2.0446784291405806,1.2030449630051223,0.8416334661354582
80130,1355,1047,28764,2402,143820,1.6701432345988039,0.9421499096092337,0.7279933249895703
80131,0,1,144,1,720,0.1388888888888889,0,0.1388888888888889
80132,1115,674,20221,1789,101105,1.7694476039760643,1.1028139063349982,0.6666336976410663
80133,56,35,2154,91,10770,0.8449396471680594,0.5199628597957289,0.32497678737233054
80134,3074,2392,58232,5466,291160,1.8773183129550761,1.0557768924302788,0.8215414205247974
80135,348,246,3856,594,19280,3.0809128630705396,1.804979253112033,1.2759336099585061
80136,440,320,5074,760,25370,2.9956641702798583,1.7343318880567598,1.2613322822230981
80137,90,56,1153,146,5765,2.5325238508239374,1.5611448395490026,0.971379011274935
80138,1785,1259,30693,3044,153465,1.9835141563222884,1.1631316586843905,0.820382497637898
80202,1056,845,11474,1901,57370,3.313578525361687,1.8406832839463132,1.472895241415374
80203,1662,1320,20214,2982,101070,2.9504303947758976,1.6444048679133274,1.3060255268625705
80204,4475,3701,31133,8176,155665,5.252304628529213,2.874763113095429,2.3775415154337844
80205,4276,3264,30956,7540,154780,4.871430417366584,2.7626308308566996,2.108799586509885
80206,1985,1460,21295,3445,106475,3.2355012913829535,1.8642873914064335,1.3712138999765204
80207,3284,2266,23296,5550,116480,4.764766483516484,2.819368131868132,1.9453983516483517
80209,1858,1316,23413,3174,117065,2.711314227138769,1.5871524366804766,1.1241617904582926
80210,3057,2092,35974,5149,179870,2.8626230055039747,1.6995607939067106,1.1630622115972646
80211,3745,3002,32797,6747,163985,4.1144007073817725,2.2837454645241944,1.8306552428575782
80212,1874,1505,18570,3379,92850,3.6392030156165855,2.018309100700054,1.620893914916532
80214,3179,2673,25598,5852,127990,4.572232205641066,2.483787795921556,2.0884444097195094
80215,2299,1618,18231,3917,91155,4.297076408315506,2.5220777796061653,1.7749986287093413
80216,1712,1303,11232,3015,56160,5.368589743589744,3.0484330484330484,2.320156695156695
80218,1934,1378,18462,3312,92310,3.587910302242444,2.0951142888094463,1.4927960134329974
80219,8903,6667,65449,15570,327245,4.757903100123761,2.7205916056777033,2.0373114944460573
80220,3334,2628,36162,5962,180810,3.2973839942481056,1.8439245616945967,1.453459432553509
80221,4280,3620,40341,7900,201705,3.9166108921444684,2.12191071118713,1.7947001809573389
80222,2667,1989,20673,4656,103365,4.504426062980699,2.580177042519228,1.9242490204614715
80223,2325,1918,17912,4243,89560,4.737606074140241,2.596025011165699,2.1415810629745424
80224,2635,1792,17454,4427,87270,5.072762690500745,3.019365188495474,2.053397502005271
80226,3537,2737,31616,6274,158080,3.9688765182186234,2.237474696356275,1.7314018218623481
80227,3655,2442,34139,6097,170695,3.571867951609596,2.141246082193386,1.4306218694162103
80228,2294,1679,31455,3973,157275,2.526148466062629,1.4585916388491496,1.0675568272134794
80229,4465,4242,51224,8707,256120,3.3995783226612524,1.7433234421364987,1.656254880524754
80230,1134,671,8393,1805,41965,4.301203383772191,2.7022518765638033,1.598951507208388
80231,3573,2543,34516,6116,172580,3.543863715378375,2.0703441882025726,1.4735195271758026
80232,2236,1700,21642,3936,108210,3.6373717771000833,2.0663524628038075,1.5710193142962756
80233,4268,3673,46886,7941,234430,3.3873650983235937,1.8205861024612893,1.5667789958623044
80234,1938,1612,26289,3550,131445,2.700749362851383,1.4743809197763322,1.2263684430750503
80235,791,616,7888,1407,39440,3.567444219066937,2.005578093306288,1.561866125760649
80236,2417,1685,16914,4102,84570,4.850419770604233,2.8579874660044933,1.9924323045997399
80237,2372,1603,18445,3975,92225,4.310111141230686,2.57197072377338,1.7381404174573054
80238,454,470,11965,924,59825,1.5445048056832427,0.7588800668616799,0.7856247388215628
80239,4063,2875,43211,6938,216055,3.211219365439356,1.8805396773969592,1.3306796880423966
80241,1985,1569,33242,3554,166210,2.138258829191986,1.1942723061187654,0.9439865230732206
80246,1092,796,12719,1888,63595,2.968786854312446,1.7171161254815632,1.251670728830883
80247,4460,2478,25588,6938,127940,5.422854463029545,3.486009066750039,1.936845396279506
80249,1751,1211,27505,2962,137525,2.1537902199600074,1.273223050354481,0.8805671696055263
80260,3073,2711,33835,5784,169175,3.4189448795625834,1.8164622432392492,1.6024826363233338
80301,1667,1156,23980,2823,119900,2.354462051709758,1.390325271059216,0.9641367806505421
80302,1390,839,28003,2229,140015,1.5919722886833556,0.9927507767024961,0.5992215119808593
80303,2305,1325,23505,3630,117525,3.0887045309508614,1.9612848330142523,1.1274196979366091
80304,1544,1049,26471,2593,132355,1.959125080276529,1.1665596312946245,0.7925654489819047
80305,961,564,17401,1525,87005,1.7527728291477502,1.1045342221711396,0.6482386069766106
80310,2,2,6630,4,33150,0.012066365007541479,0.006033182503770739,0.006033182503770739
80401,2783,1938,39336,4721,196680,2.4003457392719136,1.4149888143176734,0.9853569249542403
80403,1132,850,18345,1982,91725,2.1608067593349687,1.2341237394385391,0.9266830198964295
80419,0,0,382,0,1910,0,0,0
80420,0,0,955,0,4775,0,0,0
80421,486,377,8189,863,40945,2.1077054585419464,1.1869581145439003,0.920747343998046
80422,141,120,4424,261,22120,1.1799276672694394,0.6374321880650995,0.5424954792043399
80423,4,2,132,6,660,0.9090909090909091,0.6060606060606061,0.30303030303030304
80424,21,25,9546,46,47730,0.09637544521265451,0.04399748585795097,0.052377959354703546
80425,0,0,244,0,1220,0,0,0
80426,0,0,217,0,1085,0,0,0
80427,6,0,759,6,3795,0.15810276679841898,0.15810276679841898,0
80428,4,2,613,6,3065,0.1957585644371941,0.13050570962479607,0.06525285481239804
80432,0,0,104,0,520,0,0,0
80433,439,304,8348,743,41740,1.7800670819357929,1.0517489218974605,0.7283181600383325
80434,0,0,47,0,235,0,0,0
80435,77,54,7928,131,39640,0.3304742684157417,0.19424823410696268,0.136226034308779
80436,6,4,469,10,2345,0.42643923240938164,0.255863539445629,0.17057569296375266
80438,1,2,350,3,1750,0.17142857142857143,0.05714285714285715,0.1142857142857143
80439,1321,863,23746,2184,118730,1.839467699823128,1.1126084393160953,0.7268592605070328
80440,10,7,2353,17,11765,0.14449638759031025,0.08499787505312367,0.05949851253718657
80442,9,6,2759,15,13795,0.10873504893077202,0.06524102935846321,0.043494019572308806
80443,7,6,3345,13,16725,0.07772795216741404,0.04185351270553064,0.03587443946188341
80444,6,2,1175,8,5875,0.13617021276595745,0.10212765957446808,0.03404255319148936
80446,33,12,3604,45,18020,0.24972253052164264,0.18312985571587126,0.06659267480577136
